Variable;Etiqueta
enc;NUMERO DE ENCUESTA
p5_1;SOLUCION DADA EN LA TIENDA
p5_2;AGILIDAD MOSTRADA
p5_3;INTERES MOSTRADO POR EL COLABORADOR
p5_4;AMABILIDAD Y TRATO DEL COLABORADOR
p5_5;OFERTA DE PRODUCTOS Y SERVICIOS
p5_6;NIVEL DE CONOCIMIENTOS DEL COLABORADOR / CAJERO
p5_7;CLARIDAD DE LA INFORMACIÓN
p5_8;TIEMPO DE ESPERA EN SER ATENDIDO
p5_9;TIEMPO DE ATENCIÓN BRINDADA
p5_10;SIMPLEZA DURANTE EL PROCESO DE ATENCIÓN
p5_11;FLEXINILIDAD DEL COLABORADOR
p7_1;PUBLICIDAD DE LA TIENDA
p7_2;ORDEN DE LA TIENDA
p7_3;LIMPIEZA DE LA TIENDA
p7_4;PERSONAL DEBIDAMENTE ARREGLADO EN LA TIENDA
p7_5;INFRAESTRUCTURA / DISEÑO E LA TIENDA
p7_6;COMODIDAD DE LA INSTALACIONES DE LA TIENDA
p7_7;PERSONAL DEBIDAMENTE IDENTIFICADO DE LA TIENDA
p8;SATISFACCIÓN POR EL PROCESO DE ATENCIÓN EN LA TIENDA
